module,source_url,source_sha256,downloaded,in_repo_since
LeanSvg/Fonts/Amiri.lean,https://raw.githubusercontent.com/linebender/resvg-test-suite/d8e064337faf01bc5a9579187a56dbdbe3eacc72/fonts/Amiri-Regular.ttf,f3615b08cc3d78409474c28ed7c9e0fb5cc42435e12080a385e1a4163ab46708,2026-09-24,2026-09-24 d02c2b2
LeanSvg/Fonts/Arimo.lean,https://raw.githubusercontent.com/google/fonts/23e54b51ddffbc7713c583748e3bd86f62b1fa4a/ofl/arimo/Arimo%5Bwght%5D.ttf,e43898b143ec826ac8cb4034816458a7047fbe0836558de2a1f8c6223ae3e0ca,2026-09-24,2026-09-24 d02c2b2
LeanSvg/Fonts/ArimoBold.lean,https://raw.githubusercontent.com/google/fonts/23e54b51ddffbc7713c583748e3bd86f62b1fa4a/ofl/arimo/Arimo%5Bwght%5D.ttf,e43898b143ec826ac8cb4034816458a7047fbe0836558de2a1f8c6223ae3e0ca,2026-09-24,2026-09-24 d02c2b2
LeanSvg/Fonts/CMUSansSerif.lean,https://sourceforge.net/projects/cm-unicode/files/cm-unicode/0.7.0/cm-unicode-0.7.0-ttf.tar.xz/download#cm-unicode-0.7.0/cmunss.ttf,e0760f13b32ff4ed789ef14badc8995c780e052195c2b57f5661a079d0ab9d52,2026-09-24,2026-09-24 d02c2b2
LeanSvg/Fonts/CMUSerif.lean,https://sourceforge.net/projects/cm-unicode/files/cm-unicode/0.7.0/cm-unicode-0.7.0-ttf.tar.xz/download#cm-unicode-0.7.0/cmunrm.ttf,cf2b28d1f36b680bc5851196c0da97d32ed564d8a703a9636f094092934babe6,2026-09-24,2026-09-24 d02c2b2
LeanSvg/Fonts/CMUSerifItalic.lean,https://sourceforge.net/projects/cm-unicode/files/cm-unicode/0.7.0/cm-unicode-0.7.0-ttf.tar.xz/download#cm-unicode-0.7.0/cmunti.ttf,0473b87393141b7ba311e8a590c568e8a82e29dc417574eb748c0093cce0911d,2026-09-24,2026-09-24 d02c2b2
LeanSvg/Fonts/CMUTypewriter.lean,https://sourceforge.net/projects/cm-unicode/files/cm-unicode/0.7.0/cm-unicode-0.7.0-ttf.tar.xz/download#cm-unicode-0.7.0/cmuntt.ttf,408c037330446e5f3225add1fcca336e2072c459deb39f5318390004a780de82,2026-09-24,2026-09-24 d02c2b2
LeanSvg/Fonts/Cousine.lean,https://raw.githubusercontent.com/google/fonts/23e54b51ddffbc7713c583748e3bd86f62b1fa4a/ofl/cousine/Cousine-Regular.ttf,1da22250675fc4c42fcf3a9736c44bc0570516105331443b663fd5cfbd1412fe,2026-09-24,2026-09-24 d02c2b2
LeanSvg/Fonts/DejaVuSans.lean,https://sourceforge.net/projects/dejavu/files/dejavu/2.37/dejavu-fonts-ttf-2.37.tar.bz2/download#dejavu-fonts-ttf-2.37/ttf/DejaVuSans.ttf,7da195a74c55bef988d0d48f9508bd5d849425c1770dba5d7bfc6ce9ed848954,2026-09-24,2026-09-24 d02c2b2
LeanSvg/Fonts/DejaVuSansBold.lean,https://sourceforge.net/projects/dejavu/files/dejavu/2.37/dejavu-fonts-ttf-2.37.tar.bz2/download#dejavu-fonts-ttf-2.37/ttf/DejaVuSans-Bold.ttf,e6476c1b80502924294eed40894c5b18e06c181444ca953e5334262df9c27724,2026-09-24,2026-09-24 d02c2b2
LeanSvg/Fonts/DejaVuSansMono.lean,https://sourceforge.net/projects/dejavu/files/dejavu/2.37/dejavu-fonts-ttf-2.37.tar.bz2/download#dejavu-fonts-ttf-2.37/ttf/DejaVuSansMono.ttf,b4a6c3e4faab8773f4ff761d56451646409f29abedd68f05d38c2df667d3c582,2026-09-24,2026-09-24 d02c2b2
LeanSvg/Fonts/DejaVuSansOblique.lean,https://sourceforge.net/projects/dejavu/files/dejavu/2.37/dejavu-fonts-ttf-2.37.tar.bz2/download#dejavu-fonts-ttf-2.37/ttf/DejaVuSans-Oblique.ttf,4af75fa16ee6d3ad43e1ecec41862c24954af26a55c6bb1ebb27bd486a50f5f4,2026-09-24,2026-09-24 d02c2b2
